research_line,binding_type,binding_path,test_path,status
PCam patch benchmark,artifact+doc,docs/results/pcam-results.md; CLAIM_BOUNDARY.md,tests/test_pcam_*.py,active_corrected_empirical_evidence
Paired-scanner design,artifact,evidence/paired_acquisition/corrected-20260726/release_manifest.json,tests/test_fixed_estimand_real_feature_space_adjudication*.py,active_corrected_empirical_evidence
PA-NF,source+artifact,experiments/paired_acquisition/; results/fixed_estimand_real_feature_space_adjudication_v2_20260804T123124,tests/test_fixed_estimand_real_feature_space_adjudication*.py,implemented_architecture_pending_controlled_validation
SCORPION,artifact,evidence/paired_acquisition/scorpion-capacity-matched-20260726,SCORPION tests,active_corrected_empirical_evidence
Canine SCC,artifact,evidence/paired_acquisition/corrected-20260726/canine,tests/experiments/test_biological_label_preservation_audit_v2.py,active_corrected_empirical_evidence
Scanner/center subspaces,artifact,results/camelyon17_pathoalign_v6c/v7; oldstyle audits,subspace tests,active_corrected_empirical_evidence
Synthetic mechanism,artifact,results/biological_bottleneck_capacity_allocation_factorial_20260803T150254,tests/test_biological_bottleneck_capacity_allocation_factorial.py,synthetic_mechanism_evidence
TransnnMIL,source+test,src/models/transnnmil/; src/models/mil/,tests/models/test_transnnmil_*.py,implemented_architecture_pending_controlled_validation
PathologyFL,source+test,src/features/federated/pathology_fl/,tests/federated/test_fl_integration.py,implemented_research_infrastructure
FAIR-WEIGHTS-H,source+spec,.../weighting/fair_weights_h.py; docs/theory/fair-weights-h.md,tests/federated/test_fair_weights_h.py,proposed_protocol_with_execution_validation
PANDA studies,artifact,results/panda_*; results/dominance_detector_switch_*,PANDA/MIL tests,active_corrected_empirical_evidence
CAMELYON17 center,artifact,results/camelyon17/; results/camelyon17_pathoalign_v6c/v7,tests/test_camelyon_*.py,active_corrected_empirical_evidence
Provenance/audit,source+test,scripts/provenance/; src/paired_acquisition_provenance.py,tests/test_corrected_paired_acquisition_evidence.py; test_real_bottleneck_representation_recovery.py,implemented_research_infrastructure
