commit_short,commit_full,commit_message,branch,claims,result_directory,key_files,evidence_tier,notes
3e5bf19e,3e5bf19e,"Add acquisition branch audit",experiment/acquisition-branch-audit,CLAIM_2,results/paired_acquisition_factorization_acquisition_branch_audit,"branch_audit_summary.csv;branch_separation_contrasts.csv;acquisition_branch_audit_report.md",full (5-fold x 5-seed),Branch audit quantifying scanner/category separation across biological and acquisition branches
e4819c42,e4819c42,"Add pair-structure boundary test",experiment/pair-structure-boundary-test,"CLAIM_1;CLAIM_2",results/paired_acquisition_factorization_pair_structure_boundary_test,"boundary_summary.csv;boundary_condition_contrasts.csv;pair_structure_boundary_report.md",full (5-fold x 5-seed),Primary pair-structure ladder evidence; two datasets (SCORPION DINOv2 + canine SCC DINOv2)
d018c924,d018c924,"Extend pair-structure boundary test across backbones",experiment/pair-structure-boundary-crossbackbone,CLAIM_1,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone,"boundary_summary.csv;boundary_condition_contrasts.csv;pair_structure_boundary_crossbackbone_report.md",full (5-fold x 5-seed),Cross-backbone extension of pair-structure boundary to SCORPION Phikon + ResNet50
bec06eb4,bec06eb4,"Add biological label preservation audit",experiment/biological-label-preservation-audit,"CLAIM_1;CLAIM_2",results/paired_acquisition_factorization_biological_label_preservation_audit,"label_probe_summary.csv;scanner_label_tradeoff_summary.csv;neighborhood_purity_metrics.csv;biological_label_preservation_report.md",full (5-fold x 5-seed),Primary branch separation evidence; scanner vs category probe; PCA and linear baselines
535eea18,535eea18,"Add scanner-heldout label transfer audit",experiment/scanner-heldout-label-transfer-audit,"CLAIM_1;CLAIM_2",results/paired_acquisition_factorization_scanner_heldout_label_transfer_audit,"scanner_heldout_summary.csv;scanner_heldout_per_scanner.csv;scanner_heldout_per_class_recall.csv;scanner_heldout_label_transfer_report.md",full (5 held-out scanners x 5 seeds),Cross-scanner category transfer; biological vs acquisition vs shuffled-sample
0d7cdc92,0d7cdc92,"Add sample-disjoint scanner-heldout transfer audit",experiment/sample-subset-disjoint-scanner-heldout-transfer-audit,"CLAIM_1;CLAIM_2",results/paired_acquisition_factorization_sample_subset_disjoint_scanner_heldout_transfer_audit,"sample_disjoint_scanner_heldout_summary.csv;sample_disjoint_scanner_heldout_report.md",full (5 held-out scanners),Sample-disjoint heldout transfer — additional pair-structure control
b5a9886e,b5a9886e,"Add scanner-confounded label robustness audit",experiment/scanner-confounded-label-robustness-audit,"CLAIM_1;CLAIM_2",results/paired_acquisition_factorization_scanner_confounded_label_robustness_audit,"scanner_confounded_summary.csv;scanner_confounded_robustness_report.md",full (5-fold x 5-seed),Scanner-confounded category robustness audit
ec2a509f,ec2a509f,"Add linear residual branch separation audit",experiment/linear-baseline-consistency-audit,"CLAIM_2;CLAIM_3",results/paired_acquisition_factorization_linear_residual_branch_separation_audit,"linear_residual_summary.csv;linear_residual_branch_separation_report.md",full (5-fold x 5-seed),Logistic-SVD linear residual decomposition; now superseded by oldstyle baseline
a325c009,a325c009,"Add linear baseline consistency audit",experiment/linear-baseline-consistency-audit,CLAIM_3,results/paired_acquisition_factorization_linear_baseline_consistency_audit,"linear_baseline_consistency_metrics.csv;linear_baseline_feature_comparison.csv;linear_baseline_consistency_report.md",full (5-fold),Reconciles oldstyle (centroid/QR) vs newstyle (logistic-SVD) mismatch
3450ede2,3450ede2,"Add oldstyle residual branch separation audit",experiment/oldstyle-residual-branch-separation-audit,"CLAIM_2;CLAIM_3",results/paired_acquisition_factorization_oldstyle_residual_branch_separation_audit,"oldstyle_residual_summary.csv;oldstyle_residual_branch_contrasts.csv;oldstyle_residual_branch_separation_report.md",full (5-fold x 5-seed),Oldstyle centroid/QR baseline; primary CLAIM_3 evidence
