identifier,name,scientific_level,problem_addressed,authored_contribution,implementation_paths,tests,datasets,result_artifacts,source_commits,current_status,strongest_supported_claim,pending_validation,withdrawn_claims,prohibited_interpretations,manuscript_role,candidate_focused_paper_role
pcam_patch_benchmark,PCam patch benchmark foundation,Level I / benchmark,;patch-level tumor-detection evaluation and engineering foundation,;PCam dataset API + heads + extractors + full-test eval with bootstrap CI + CV + threshold + federated smoke,src/data/datasets/pcam_dataset.py;experiments/train_pcam.py;experiments/evaluate_pcam.py;scripts/cross_validate_pcam.py;scripts/optimize_threshold.py,tests/test_pcam_dataset.py;test_pcam_evaluation_ci.py;test_evaluate_pcam.py;test_compare_pcam_baselines.py,PCam official splits,results/pcam_comparison;docs/results/pcam-results.md,PCam history,implemented_research_infrastructure,;working patch-level training/eval/bootstrap pipeline (infrastructure); no active numerical empirical claim,;completed CV; calibration study; re-run to a tracked immutable artifact,;threshold-as-deployment; clinical/superiority language,;clinical validation; diagnosis-saving; SOTA; deployment thresholds,Section 3 benchmark foundation,none standalone
paired_scanner_design,Paired-scanner and paired-acquisition design,Level I,;scanner/acquisition confounding in representation formation,;exact same-region paired scans + pairing ladder + broken-pair controls + paired nulls + sample-blocked folds,experiments/paired_acquisition/run_pair_structure_boundary_test.py;run_real_paired_scanner_bottleneck_allocation_validation.py;run_fixed_estimand_real_feature_space_adjudication*.py,tests/test_fixed_estimand_real_feature_space_adjudication*.py,SCORPION; canine SCC,corrected-20260726; real paired-scanner validation; adjudication v2,pair-structure commits; e95d8526; adjudication commits,active_corrected_empirical_evidence; negative_or_mixed_empirical_result,;true-pair superiority demonstrates paired supervision; partial structured separation,;validated Layer-2 swapping; pixel-space validation,;historical slide-independent sign-flip p-values,;perfect disentanglement; scanner-free biology; clinical utility,Section 4 Level I,Focused Paper A
paired_acquisition_neural_factorization,Paired-Acquisition Neural Factorization,Level I,;explicit inspectable bottleneckable swappable biological/acquisition separation,;factorizer with biological + acquisition branches + decoder + crossed reconstruction + consistency + prototype regularization,src/paired_acquisition_provenance.py;src/paired_acquisition_factorial.py;experiments/paired_acquisition/ runners,PA-NF audit/validation suites,SCORPION; canine SCC,corrected-20260726; capacity-matched; factorial; real validation; recovery; adjudication v2,corrected 4239d4f7; remediation 32f357e1; e95d8526; recovery/adjudication,implemented_architecture_pending_controlled_validation; negative_or_mixed_empirical_result; active_corrected_empirical_evidence,;paired supervision + partial separation; explicit inspectable acquisition branch,;corrected category gain; Layer-2 swapping,;historical superiority over oldstyle centroid/QR,;best scanner-removal; scanner-free biology; clinical utility; perfect factorization,Section 4 Level I,Focused Paper A
scorpion,SCORPION,Level I,;scanner confounding on aligned multi-scanner H&E regions,;paired-scanner study + capacity-matched campaign + fold-aware analysis + cross-backbone transfer,experiments/paired_acquisition/run_*scorpion*;src/models/scorpion_pathoalign.py,SCORPION manifest/capacity-matched tests,SCORPION 48 slides 480 regions 5 scanners 2400 patches,corrected-20260726/scorpion; scorpion-capacity-matched evidence,0adea50f; merge 30778499,active_corrected_empirical_evidence,;scanner and retrieval findings under fold-aware evaluation,;validated category labels (absent),,;any category-accessibility claim,Section 4 dataset; feature_only_no_biological_claim,Focused Paper A
canine_scc,Multi-scanner canine SCC,Level I,;category-labeled external paired-scanner validation,;fixed five-category estimand + sample-blocked folds + fit-only standardization + NN exclusion,experiments/paired_acquisition/run_biological_label_preservation_fixed_estimand.py,corrected fixed-estimand tests; adjudication tests,external multi-scanner canine SCC,corrected-20260726/canine; adjudication v2,remediation/adjudication commits,active_corrected_empirical_evidence; negative_or_mixed_empirical_result,;corrected five-category descriptive endpoints; B64 no category gain but retrieval+scanner increase,;additional category datasets,,;clinical endpoints (categories are descriptive),Section 4 dataset,Focused Paper A
scanner_center_subspaces,Scanner and center subspaces,Level I,;low-dimensional scanner/center subspaces and their removability,;centroid/QR + PCA + paired-linear + adversarial + center-projection methods,experiments/paired_acquisition/run_*subspace*;scripts/camelyon17/run_pathoalign_v6c_center_projection_rank_sweep.py;run_pathoalign_v7_center_projection_baseline.py,baseline/subspace tests,SCORPION; canine; CAMELYON17,oldstyle residual separation audit; CAMELYON17 v6c/v7,remediation commits,active_corrected_empirical_evidence; negative_or_mixed_empirical_result,;centroid/QR strongest raw scanner removal; linear center subspace partially removable,;nonlinear scanner-removal baselines,,;center invariance; universal center-removal law,Section 4 baselines; Section 9,Focused Papers A and C
synthetic_identifiability_mechanism,Synthetic identifiability and mechanism studies,Level I mechanism,;factor recoverability and capacity allocation under controlled generators,;synthetic generators + identifiability diagnostics + capacity factorials + task sufficiency + whitening audits + consensus variants,experiments/paired_acquisition/run_synthetic_*;run_crossed_target_*;run_*capacity*;run_task_*,synthetic factorial/mechanism tests,controlled synthetic generators,synthetic factorial; dimensionality-xcov evidence; mechanism results,factorial/recovery commits,synthetic_mechanism_evidence,;mechanism + identifiability + capacity allocation under generators,;transport to real corrected category accessibility (failed),,;pathology claims; clinical utility,Section 10 synthetic mechanism,Focused Paper A identifiability
transnnmil_whole_slide,TransnnMIL whole-slide aggregation,Level II,;multibranch whole-slide neural aggregation,;canonical dual-branch TransnnMIL + corrected branch-token fusion + v2 + fusion controls + hierarchical pooling + topology + adaptive pruning + graph cache + PANDA infra,"src/models/transnnmil/;src/models/mil/{transmil,nnmil,attention_mil,clam}.py;scripts/training/train_panda_transnnmil_baseline.py",tests/models/test_transnnmil_*;test_topology_branch.py;test_hierarchical_pooling.py;test_adaptive_pruning.py,PANDA Phikon feature bags; synthetic MIL,results/panda_transnnmil_baseline;panda_transnnmil_ablation;transnnmil_stability_summary,repair 38144d8a; salvage 932c7435; controls e976b1ce; remediation 32f357e1,implemented_architecture_pending_controlled_validation; historical_withdrawn_evidence,;implemented tested multibranch architecture; preliminary post-repair PANDA runs,;repaired matched controlled reruns,;historical fusion/topology QWK; any superiority over AttentionMIL/TransMIL/nnMIL,;outperforms TransMIL/nnMIL; improves PANDA grading; clinical readiness; SOTA,Section 5 Level II,Focused Paper B
pathology_fl,PathologyFL,Level III,;pathology-specific federated-learning research infrastructure,;coordinator + client + aggregators + privacy + secure comms/aggregation + monitoring + async + fault tolerance + compression + registry,src/features/federated/pathology_fl/,tests/federated/test_fl_integration.py;test_pathology_fl_aggregation.py;test_secure_aggregation*.py;test_async_training.py;test_fault_tolerance.py,PCam patches; PANDA-derived features,;real multi-center deployment; FAIR-WEIGHTS-H aggregator integration untested; DP/secure gated on optional libraries (skip cleanly); e2e tests gated slow and collect cleanly,PathologyFL history,implemented_research_infrastructure,;executable pathology-specific FL research framework with validated integration/smoke,;real multi-center deployment; e2e tests have dangling imports; DP/secure gated on optional libs,;,;clinical outcomes; full multi-center validation; clinical readiness,Section 6 Level III,Focused Paper C
fair_weights_h,FAIR-WEIGHTS-H,Level III,;auditable institutional contribution/safety/representation weighting,;hybrid weighting protocol + integrity gates + uncertainty penalties + useful uniqueness + bounded weights + PathoAlign bridge + conservative mode,src/features/federated/pathology_fl/weighting/fair_weights_h.py;weighting/pathoalign_bridge.py;aggregator/pathoalign_fair.py;aggregator/weighted.py,tests/federated/test_fair_weights_h.py;test_weighting_perturbations.py;test_synthetic_federation.py,synthetic; PCam; PANDA-derived,results/fair_weights_h_panda_feature_stress_*;fair_weights_h_stress_aggregate (no manifests),FAIR-WEIGHTS-H history,proposed_protocol_with_execution_validation,;execution stability + aggregation behavior tested; conditional simulated-site stress,;consistent performance/fairness superiority; aggregator integration untested,;,;FAIR-WEIGHTS-H proves fairness; better than equal/volume weighting; clinical readiness,Section 7,Focused Paper C
