claim_id,claim_type,claim_text,binding,strongest_evidence,status,prohibited_stronger_wording
MS_CLAIM_01,architecture,"We introduce Paired-Acquisition Neural Factorization.","source: experiments/paired_acquisition/ runners; tests","implemented factorizer with biological/acquisition branches + decoder",active_architectural,"best scanner-removal; scanner-free biology"
MS_CLAIM_02,empirical,"Corrected paired-scanner experiments support partial structured separation and paired supervision.","artifact: evidence/paired_acquisition/corrected-20260726/release_manifest.json (a7a7e34d)","corrected evidence release",active_corrected,"perfect disentanglement; clinical utility"
MS_CLAIM_03,empirical,"No neural feature-space increment over simple scanner-removal baselines was supported under the corrected fixed five-category estimand.","artifact: results/fixed_estimand_real_feature_space_adjudication_v2_20260804T123124 (2cccaad7)","adjudication v2 status complete_no_neural_feature_space_increment_supported",active_negative,"neural superiority; synthetic transport"
MS_CLAIM_04,empirical,"B64 increased scanner recoverability and region retrieval without corrected category gain.","artifact: adjudication v2 canine_metric_table","B64-B32 contrasts +0.049 scanner / +0.050 worst-pair / -0.008 category",active_corrected,"B64 improves category accessibility"
MS_CLAIM_05,architecture,"We introduce TransnnMIL as a multibranch whole-slide neural aggregation architecture.","source: src/models/transnnmil/; tests","implemented canonical dual-branch + fusion + topology + pooling + pruning",active_architectural,"outperforms TransMIL/nnMIL; improves PANDA grading"
MS_CLAIM_06,empirical,"TransnnMIL historical fusion/topology numbers are withdrawn; post-repair runs are preliminary and pending matched controlled reruns.","doc: CLAIM_BOUNDARY.md; docs/research/scientific-audit-remediation-20260725.md","withdrawal ledger",active_withdrawn,"historical QWK as repaired evidence"
MS_CLAIM_07,infrastructure,"We developed PathologyFL as a pathology-specific federated-learning research framework.","source: src/features/federated/pathology_fl/; tests","implemented + integration/smoke validated",active_infrastructure,"clinical outcomes; full multi-center validation"
MS_CLAIM_08,protocol,"We propose and implement FAIR-WEIGHTS-H as an auditable hybrid institutional-weighting protocol.","source: .../weighting/fair_weights_h.py; spec docs","execution stability tested; no superiority established",active_protocol,"proves fairness; better than volume weighting"
MS_CLAIM_09,engineering_context,"PCam provides a patch-level engineering and evaluation benchmark; no active numerical empirical claim is promoted because the underlying result artifacts are not tracked.","doc: docs/results/pcam-results.md; CLAIM_BOUNDARY.md","implementation/benchmark infrastructure",documentation_only,"clinical validation; SOTA; any unbound numerical benchmark claim"
MS_CLAIM_10,empirical,"CAMELYON17 weighting studies are centralized frozen-feature proxies, not full federated-learning validation.","doc: CLAIM_BOUNDARY.md; results/camelyon17/center_weighting_5seed_summary.md","equal-client held-out-center accuracy",active_corrected,"full FL validation; general hospital law"
MS_CLAIM_11,methodology,"The fail-closed scientific-audit system binds active claims to immutable artifacts.","source: scripts/provenance/; tests","validators + recovery (complete_exact_real_bottleneck_representation_recovery)",active_methodology,"passing tests imply clinical performance"
MS_CLAIM_12,negative,"Synthetic accessibility effects did not transport to corrected real category accessibility.","artifact: adjudication v2 synthetic_transport_decision","synthetic_accessibility_effect_transported = false",active_negative,"retrieval gain as biological accessibility"
MS_CLAIM_13,prohibited,"Validated scanner swapping (Layer 2) is not established without verified swap metadata.","doc: adjudication layer2_gap_schema","missing-metadata schema",prohibited_by_evidence_scope,"swap utility claims"
MS_CLAIM_14,prohibited,"Feature-space category preservation does not establish clinical validity.","doc: CLAIM_BOUNDARY.md",evidence boundary,prohibited_by_evidence_scope,"clinical endpoints from categories"
